"Part";"Value";"Device";"Package";"Description";"3D_PACKAGE";"AVAILABILITY";"DESCRIPTION";"DIGIKEY_PART_NUMBER";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";"SPICEPREFIX";"SUPPLIER";"SUPPLIER_NAME";
"C1";"10nf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C2";"4.7pf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C3";"4.7pf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C4";"100nf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C5";"100nf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C6";"100nf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C7";"100nf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C8";"4.7pf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C9";"4.7pf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C10";"100nf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C11";"100nf";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C12";"10uf";"CPOL-EUSANYO_SMD_B6";"SANYO-OSCON_SMD_B6";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C13";"10u";"C-PR-SMD-TE-B";"TE-B-3528";"POLARIZED ELECTROLYTIC/TANTALUM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
